topicIdx,updated,usercode,created,shortOrLong,players,done,key,wordNum,duration,worst,best
33,2015-03-22T02:02:23,AIQG1I0A,2015-03-22T01:37:41,long,"[u'33-10-word-3-long', u'33-10-histogram-4-long', u'33-10-wordcloud-0-long', u'33-10-topic-in-a-box-1-long']",True,4563384766824448,10,31.661,[u'33-10-histogram-4-long'],[u'33-10-word-3-long']
8,2015-03-20T02:18:18,5ZFWBRPX,2015-03-15T02:05:52,short,"[u'8-5-word-3-short', u'8-5-histogram-3-short', u'8-5-wordcloud-3-short', u'8-5-topic-in-a-box-3-short']",True,4564518638190592,5,16.614,[u'algorithm'],[u'8-5-word-3-short']
14,,,2015-03-22T01:36:35,long,"[u'14-5-word-2-long', u'14-5-histogram-3-long', u'14-5-wordcloud-4-long', u'14-5-topic-in-a-box-0-long']",False,4564681310076928,5,,,
19,,,2015-03-22T01:36:43,long,"[u'19-10-word-3-long', u'19-10-histogram-4-long', u'19-10-wordcloud-0-long', u'19-10-topic-in-a-box-1-long']",False,4565672105345024,10,,,
7,2015-03-19T04:20:31,5F57KK40,2015-03-15T02:05:51,long,"[u'7-10-word-4-long', u'7-10-histogram-4-long', u'7-10-wordcloud-4-long', u'7-10-topic-in-a-box-4-long']",True,4568019573407744,10,77.08,[u'7-10-word-4-long'],[u'7-10-histogram-4-long']
42,,,2015-03-22T01:38:04,short,"[u'42-20-word-1-short', u'42-20-histogram-2-short', u'42-20-wordcloud-3-short', u'42-20-topic-in-a-box-4-short']",False,4568144932765696,20,,,
22,2015-03-19T10:13:39,FL2OASP5,2015-03-15T02:06:46,short,"[u'22-10-word-0-short', u'22-10-histogram-0-short', u'22-10-wordcloud-0-short', u'22-10-topic-in-a-box-0-short']",True,4569124185309184,10,148.779,[u'22-10-word-0-short'],"[u'22-10-wordcloud-0-short', u'22-10-topic-in-a-box-0-short', u'algorithm']"
33,2015-03-22T01:59:50,0RKO3NCL,2015-03-22T01:37:42,short,"[u'33-20-word-2-short', u'33-20-histogram-3-short', u'33-20-wordcloud-4-short', u'33-20-topic-in-a-box-0-short']",True,4570207590809600,20,21.137,[u'algorithm'],[u'33-20-word-2-short']
10,2015-03-17T21:02:06,QXQT1CFU,2015-03-15T02:06:16,long,"[u'10-10-word-4-long', u'10-10-histogram-4-long', u'10-10-wordcloud-4-long', u'10-10-topic-in-a-box-4-long']",True,4571185769611264,10,65.617,[u'10-10-word-4-long'],[u'10-10-histogram-4-long']
21,,,2015-03-22T01:36:55,short,"[u'21-10-word-4-short', u'21-10-histogram-0-short', u'21-10-wordcloud-1-short', u'21-10-topic-in-a-box-2-short']",False,4571245362282496,10,,,
21,2015-03-18T01:04:28,E3NIZK3T,2015-03-15T02:06:45,long,"[u'21-10-word-2-long', u'21-10-histogram-2-long', u'21-10-wordcloud-2-long', u'21-10-topic-in-a-box-2-long']",True,4571936583581696,10,73.462,[u'21-10-wordcloud-2-long'],[u'21-10-topic-in-a-box-2-long']
2,2015-03-22T01:59:47,6CLSGBB1,2015-03-22T01:35:11,short,"[u'2-10-word-4-short', u'2-10-histogram-0-short', u'2-10-wordcloud-1-short', u'2-10-topic-in-a-box-2-short']",True,4573196888047616,10,9.803,[u'2-10-topic-in-a-box-2-short'],[u'algorithm']
46,,,2015-03-22T01:38:10,long,"[u'46-20-word-4-long', u'46-20-histogram-0-long', u'46-20-wordcloud-1-long', u'46-20-topic-in-a-box-2-long']",False,4573873882267648,20,,,
49,2015-03-22T01:52:40,C7O5R3L9,2015-03-22T01:38:15,short,"[u'49-20-word-0-short', u'49-20-histogram-1-short', u'49-20-wordcloud-2-short', u'49-20-topic-in-a-box-3-short']",True,4574846155489280,20,66.52,[u'49-20-histogram-1-short'],[u'49-20-topic-in-a-box-3-short']
24,2015-03-18T22:54:18,V7R3UQ5U,2015-03-15T02:06:49,short,"[u'24-5-word-2-short', u'24-5-histogram-2-short', u'24-5-wordcloud-2-short', u'24-5-topic-in-a-box-2-short']",True,4575154319392768,5,19.443,[u'bad_54'],[u'24-5-histogram-2-short']
15,,,2015-03-22T01:36:36,short,"[u'15-5-word-2-short', u'15-5-histogram-3-short', u'15-5-wordcloud-4-short', u'15-5-topic-in-a-box-0-short']",False,4575235118465024,5,,,
